file        ( nExec ) |    cpu / algo1     |    cpu / algo2     |    cpu / algo3
-----------------------------------------------------------------------------------
m50.in      ( 10000 ) |    0.000309375     |    0.00073125      |    0.00008125
m58.in      (  8621 ) |    0.0003842362    |    0.0008808433    |    0.00007793469
m67.in      (  7463 ) |    0.0004438564    |    0.0009526162    |    0.0001046831
m78.in      (  6411 ) |    0.0003436476    |    0.001013882     |    0.000112112
m91.in      (  5495 ) |    0.0006596906    |    0.001632166     |    0.0001393312
m106.in     (  4717 ) |    0.0007751219    |    0.00190468      |    0.0001192495
m124.in     (  4033 ) |    0.0009182061    |    0.002405932     |    0.0001820915
m145.in     (  3449 ) |    0.0006886054    |    0.001857422     |    0.0001948028
m169.in     (  2959 ) |    0.001378211     |    0.003284471     |    0.000264025
m197.in     (  2539 ) |    0.001643117     |    0.003877019     |    0.0002338519
m230.in     (  2174 ) |    0.001918986     |    0.004585442     |    0.0003449862
m269.in     (  1859 ) |    0.001395239     |    0.003353618     |    0.0003446073
m314.in     (  1593 ) |    0.002854284     |    0.006287272     |    0.0004413842
m367.in     (  1363 ) |    0.003335932     |    0.007348221     |    0.0004126926
m429.in     (  1166 ) |    0.003953152     |    0.008871141     |    0.0006164237
m501.in     (   999 ) |    0.002846597     |    0.006475225     |    0.000609985
m586.in     (   854 ) |    0.005818208     |    0.01266101      |    0.0008233314
m685.in     (   730 ) |    0.006913527     |    0.01502568      |    0.0007491438
m801.in     (   625 ) |    0.0081          |    0.01705         |    0.00115
m937.in     (   534 ) |    0.005559457     |    0.01331344      |    0.001228933
m1096.in    (   457 ) |    0.01182987      |    0.02424097      |    0.001572757
m1282.in    (   391 ) |    0.01414642      |    0.02709399      |    0.001478581
m1499.in    (   334 ) |    0.01665419      |    0.03424401      |    0.002198728
m1753.in    (   286 ) |    0.0111451       |    0.02545892      |    0.002239948
m2051.in    (   244 ) |    0.02407787      |    0.04482582      |    0.003009734
m2399.in    (   209 ) |    0.02900718      |    0.05554725      |    0.002766148
m2806.in    (   179 ) |    0.03421788      |    0.06407123      |    0.004189944
m3283.in    (   153 ) |    0.0223652       |    0.04381127      |    0.004289216
m3841.in    (   131 ) |    0.0492605       |    0.08277672      |    0.005605916
m4493.in    (   112 ) |    0.05929129      |    0.1060268       |    0.005580357
m5256.in    (    96 ) |    0.0703125       |    0.1220703       |    0.008463542
m6149.in    (    82 ) |    0.04668445      |    0.0929878       |    0.008384146
m7194.in    (    70 ) |    0.1008929       |    0.1747768       |    0.01183036
m8416.in    (    60 ) |    0.1208333       |    0.2036458       |    0.01041667
m9846.in    (    51 ) |    0.1433824       |    0.2352941       |    0.01593137
m11519.in   (    44 ) |    0.09019886      |    0.1420455       |    0.01669034
m13477.in   (    38 ) |    0.2088816       |    0.3322368       |    0.02179276
m15768.in   (    32 ) |    0.2524414       |    0.3867188       |    0.02148438
m18448.in   (    28 ) |    0.3024554       |    0.4665179       |    0.03459821
m21584.in   (    24 ) |    0.1855469       |    0.4733073       |    0.03515625
m25253.in   (    20 ) |    0.440625        |    0.65            |    0.05
m29546.in   (    17 ) |    0.5303309       |    0.7702206       |    0.05238971
m34568.in   (    15 ) |    0.634375        |    0.8895833       |    0.078125
m40444.in   (    13 ) |    0.3858173       |    0.8389423       |    0.07451923
m47319.in   (    11 ) |    0.9488636       |    1.227273        |    0.1122159
m55363.in   (    10 ) |    1.157812        |    1.45625         |    0.1015625
m64774.in   (     8 ) |    1.386719        |    1.730469        |    0.1640625
m75785.in   (     7 ) |    0.8415179       |    1.366071        |    0.1495536
m88668.in   (     6 ) |    2.125           |    2.416667        |    0.2265625
m103741.in  (     5 ) |    2.559375        |    2.828125        |    0.078125
