file        ( nExec ) |   cpu / algo1    |   cpu / algo2    |   cpu / algo3
------------------------------------------------------------------------------
m50.in      ( 2000 )  |    0.00030469    |    0.00071094    |    0.00008594
m58.in      ( 1725 )  |    0.00037138    |    0.00086051    |    0.00008152
m67.in      ( 1493 )  |    0.00043955    |    0.00094190    |    0.00010466
m78.in      ( 1283 )  |    0.00036535    |    0.00098646    |    0.00010961
m91.in      ( 1099 )  |    0.00063979    |    0.00162079    |    0.00014217
m106.in     (  944 )  |    0.00076139    |    0.00187037    |    0.00013242
m124.in     (  807 )  |    0.00089064    |    0.00236214    |    0.00017426
m145.in     (  690 )  |    0.00067935    |    0.00178895    |    0.00020380
m169.in     (  592 )  |    0.00134607    |    0.00319362    |    0.00023754
m197.in     (  508 )  |    0.00159941    |    0.00378322    |    0.00027682
m230.in     (  435 )  |    0.00186782    |    0.00456178    |    0.00035920
m269.in     (  372 )  |    0.00142809    |    0.00327621    |    0.00033602
m314.in     (  319 )  |    0.00279193    |    0.00622061    |    0.00039185
m367.in     (  273 )  |    0.00337683    |    0.00726877    |    0.00040064
m429.in     (  234 )  |    0.00387286    |    0.00854701    |    0.00060096
m501.in     (  200 )  |    0.00281250    |    0.00632813    |    0.00062500
m586.in     (  171 )  |    0.00566520    |    0.01260965    |    0.00082237
m685.in     (  146 )  |    0.00684932    |    0.01487586    |    0.00074914
m801.in     (  125 )  |    0.00787500    |    0.01675000    |    0.00125000
m937.in     (  107 )  |    0.00554907    |    0.01343458    |    0.00116822
m1096.in    (   92 )  |    0.01154891    |    0.02377717    |    0.00152853
m1282.in    (   79 )  |    0.01404272    |    0.02650316    |    0.00138449
m1499.in    (   67 )  |    0.01655784    |    0.03311567    |    0.00209888
m1753.in    (   58 )  |    0.01077586    |    0.02478448    |    0.00215517
m2051.in    (   49 )  |    0.02327806    |    0.04464286    |    0.00286990
m2399.in    (   42 )  |    0.02901786    |    0.05468750    |    0.00260417
m2806.in    (   36 )  |    0.03342014    |    0.06293403    |    0.00434028
m3283.in    (   31 )  |    0.02167339    |    0.04334677    |    0.00453629
m3841.in    (   27 )  |    0.05092593    |    0.08043981    |    0.00578704
m4493.in    (   23 )  |    0.05774457    |    0.10326087    |    0.00543478
m5256.in    (   20 )  |    0.06875000    |    0.11875000    |    0.00859375
m6149.in    (   17 )  |    0.04411765    |    0.09191176    |    0.00827206
m7194.in    (   14 )  |    0.10044643    |    0.16852679    |    0.01004464
m8416.in    (   12 )  |    0.11848958    |    0.19791667    |    0.01041667
m9846.in    (   11 )  |    0.13920455    |    0.23437500    |    0.01420455
m11519.in   (    9 )  |    0.08854167    |    0.13541667    |    0.01562500
m13477.in   (    8 )  |    0.20703125    |    0.32812500    |    0.02148438
m15768.in   (    7 )  |    0.24553571    |    0.37723214    |    0.02008929
m18448.in   (    6 )  |    0.29427083    |    0.45833333    |    0.03385417
m21584.in   (    5 )  |    0.18125000    |    0.46562500    |    0.03437500
m25253.in   (    4 )  |    0.44140625    |    0.64843750    |    0.04687500
m29546.in   (    4 )  |    0.51953125    |    0.74218750    |    0.05078125
m34568.in   (    3 )  |    0.62500000    |    0.86979167    |    0.07291667
m40444.in   (    3 )  |    0.38020833    |    0.81770833    |    0.08333333
m47319.in   (    3 )  |    0.94791667    |    1.19270833    |    0.10937500
m55363.in   (    2 )  |    1.11718750    |    1.42187500    |    0.10156250
m64774.in   (    2 )  |    1.35937500    |    1.70312500    |    0.15625000
m75785.in   (    2 )  |    0.82031250    |    1.32812500    |    0.14843750
m88668.in   (    2 )  |    2.10937500    |    2.35937500    |    0.21875000
m103741.in  (    1 )  |    2.50000000    |    2.75000000    |    0.07812500      
